"World-Alpha为一部分数据集，后续会继续补充
1.action动作中没有注明左右手的默认都是左手
2.filesize 和total_action-slices，以及duration(s)都是录制结束后根据实际的值统计出来的，这里只是展示使用
3.最终的数据集导出会在example of action_text这里列中增加start和end的对应的帧序号",,,,,,,,,,,,,,,,,,,
task_id,task_name_EN,file size(MB),total_action-slices,duration(s),scenarios,example of action_text,example of action_text_CN,object,object_CN,data frame(fps),hand usage,# RGB Cams,# Depth Cams, # Wrist Cams, Data Collect Method,Has Camera Calibration?,pose and joint angles,Kinematic Parameters,Tactile Feedback(触觉反馈)
327,Pickup items in the supermarket,15.33,1254,30s~48s,Supermarket,"['Retrieve cucumber from the shelf.(Pick)', 'Place the held cucumber into the plastic bag in the shopping cart.(Place)', 'Retrieve tomato from the shelf.(Pick)', 'Place the held tomato into the plastic bag in the shopping cart.(Place)', 'Retrieve corn from the shelf.(Pick)', 'Place the held corn into the shopping carts plastic bag.(Place)']","从货架上取黄瓜。（取）

将手中的黄瓜放入购物车里的塑料袋中。（放）

从货架上取西红柿。（取）

将手中的西红柿放入购物车里的塑料袋中。（放）

从货架上取玉米。（取）

将手中的玉米放入购物车的塑料袋中。（放）","cucumber, plastic bag, shopping cart, tomato, corn","黄瓜, 塑料袋, 购物车, 西红柿, 玉米",120,Left,2,0,4,motion capture,Yes,Yes,Yes,Yes
352,Open the fridge to get food,23.55,5548,34s~59s,Home,"['Open the refrigerator door with the left arm.(PullApart)', 'Pick up the boxed iced tea from the fridge with the left arm.(Pick)', 'Place the boxed iced tea held in the left arm on the table.(Place)', 'Push the refrigerator door with the right arm.(Push)']","用左手打开冰箱门。（拉开）

用左手从冰箱里拿起装盒的冰茶。（取）

将左手拿着的装盒冰茶放在桌子上。（放）

用右手推动冰箱门。（推）","refrigerator door, boxed iced tea, fridge, table","冰箱门, 装盒冰茶, 冰箱, 桌子",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
354,Pickup items in the supermarket,31.77,1032,7s~25s,Supermarket,"['Retrieve from the shelf.(Pick)', 'Place the held red battery into the shopping cart.(Place)']","从货架上取东西。（取）

将手中的红色电池放入购物车。（放）","item, red battery, shopping cart","物品, 红色电池, 购物车",120,Left,2,0,4,motion capture,Yes,Yes,Yes,Yes
356,Packing in the supermarket,39.99,2375,20s~35s,Supermarket,"['Grasp the left arm with white plastic bag.(Grasp)', 'Grab the blue cleansing milk on the table with the right arm.(Pick)', 'Place the held blue cleansing milk into white plastic bag.(Place)', 'Grab the hawthorn tea on the table with the right arm.(Pick)', 'Place the held hawthorn tea into white plastic bag.(Place)']","用左手抓住白色塑料袋。（抓）

用右手抓取桌子上的蓝色洁面乳。（取）

将手中的蓝色洁面乳放入白色塑料袋中。（放）

用右手抓取桌子上的山楂茶。（取）

将手中的山楂茶放入白色塑料袋中。（放）","white plastic bag, blue cleansing milk, hawthorn tea, table","白色塑料袋, 蓝色洁面乳, 山楂茶, 桌子",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
357,Wash dishes with dishwasher,40.99,6848,81s~149s,Home,"['Lift the dishwasher lid with both arms.(Pull)', 'Grasp the chopsticks with the right arm.(Pick)', 'Pass the chopsticks with both hands.(HandOver)', 'Place the chopsticks held in the left arm into the dishwasher.(Place)', 'Grasp the spoon with the right arm.(Pick)', 'Pass the spoon with both hands.(HandOver)', 'Place the spoon in the dishwasher with the left arm.(Place)', 'Lift the bowl with the right arm.(Pick)', 'Pass the bowl with both hands.(HandOver)', 'Place the bowl in the dishwasher with the left arm.(Place)', 'Lift the plate with the right arm.(Pick)', 'Pass the plate with both hands.(HandOver)', 'Place the plate in the dishwasher with the left arm.(Place)', 'Pull down the dishwasher lid with both arms.(Pull)', 'Press the dishwasher lid with the left arm.(Press)', 'Press the button with the left arm to start the dishwasher.(Tap)']","用双手抬起洗碗机的盖子。（拉）

用右手抓取筷子。（取）

用双手递交筷子。（递交）

将左手拿着的筷子放入洗碗机中。（放）

用右手抓取勺子。（取）

用双手递交勺子。（递交）

用左手将勺子放入洗碗机中。（放）

用右手抬起碗。（取）

用双手递交碗。（递交）

用左手将碗放入洗碗机中。（放）

用右手抬起盘子。（取）

用双手递交盘子。（递交）

用左手将盘子放入洗碗机中。（放）

用双手拉下洗碗机盖子。（拉）

用左手按压洗碗机盖子。（按压）

用左手按按钮启动洗碗机。（点击）","dishwasher lid, chopsticks, spoon, bowl, plate, button","洗碗机盖, 筷子, 勺子, 碗, 盘子, 按钮",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
358,Toast bread,41.99,2350,32s~62s,Home,"['Lift a piece of whole wheat toast from the basket with the left arm.(Pick)', 'Insert the whole wheat toast held by the left arm into the empty slot behind white toaster.(Place)', 'Lift a piece of whole wheat toast from the basket with the left arm.(Pick)', 'Place the whole wheat toast held in the left arm into the empty slot in front of white toaster.(Place)', 'Press the white toaster start button with both arms.(PressButton)']","烤面包操作

用左手从篮子中取一片全麦面包。（取）

将左手拿着的全麦面包放入白色烤面包机后方的空槽中。（放）

用左手从篮子中取一片全麦面包。（取）

将左手拿着的全麦面包放入白色烤面包机前方的空槽中。（放）

用双手按下白色烤面包机的启动按钮。（按按钮）","whole wheat toast, basket, toaster slot, white toaster, button","全麦面包, 面包篮, 烤面包机插槽, 白色烤面包机, 按钮",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
359,Sort in the warehouse,42.99,3220,40s~50s,Industry,"['Retrieve trash bag from left material frame with the left arm.(Pick)', 'Pass the trash bag with both hands.(HandOver)', 'Place the held trash bag into the right blue target box.(Place)', 'Retrieve toothpick with the right arm from right material frame.(Pick)', 'Place the toothpick held in the right arm into the right blue target box.(Place)']","垃圾袋与牙签操作

用左手从左侧物料架取垃圾袋。（取）

用双手递交垃圾袋。（递交）

将手中的垃圾袋放入右侧蓝色目标箱中。（放）

用右手从右侧物料架取牙签。（取）

将右手拿着的牙签放入右侧蓝色目标箱中。（放）","trash bag, material frame, blue target box, toothpick","垃圾袋, 物料架, 蓝色目标箱, 牙签",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
360,Packing in the supermarket,43.99,3619,28s~49s,Supermarket,"['Grasp the left arm with green felt bag.(Grasp)', 'Grab the tomato sauce on the table with the right arm.(Pick)', 'Place the grasped tomato sauce into green felt bag with the right arm.(Place)', 'Grab the steel wool on the table with the right arm.(Pick)', 'Place the grasped steel wool into green felt bag with the right arm.(Place)', 'Grasp the wash and care set on the table with the right arm.(Pick)', 'Place the grasped wash and care set into green felt bag with the right arm.(Place)']","绿色毡袋物品放置

用左手抓住绿色毡袋。（抓）

用右手抓取桌子上的番茄酱。（取）

将抓住的番茄酱用右手放入绿色毡袋中。（放）

用右手抓取桌子上的钢丝球。（取）

将抓住的钢丝球用右手放入绿色毡袋中。（放）

用右手抓取桌子上的洗护套装。（取）

将抓住的洗护套装用右手放入绿色毡袋中。（放）","green felt bag, tomato sauce, steel wool, wash and care set, table","绿色毡袋, 番茄酱, 钢丝球, 洗护套装, 桌子",120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
361,Flatten shorts,44.99,2554,40s~80s,Home,['Smooth out a messy brown shorts with both arms and spread it flat.(Unfold)'],"整理棕色短裤

用双手将凌乱的棕色短裤抚平并摊开。（展开）",brown shorts,棕色短裤,120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
362,Fold shorts,45.99,16466,37s~69s,Home,"['Grasp the lower pant leg and waistband of light blue denim shorts and fold them over the upper pant leg and waistband.(Fold)', 'Grasp the waistband of light blue denim shorts with both hands and fold it down to the legs.(Fold)']","折叠牛仔短裤

抓住浅蓝色牛仔短裤的下裤腿和腰部，将其折叠覆盖到上裤腿和腰部。（折叠）

用双手抓住浅蓝色牛仔短裤的腰部，将其折向裤腿方向。（折叠）",light blue denim shorts,浅蓝色牛仔短裤,120,Both,2,0,4,motion capture,Yes,Yes,Yes,Yes
